"ID","Unique_State_Route_ID","Redundancy_q0","Redundancy_q1","Representativeness_q0","Representativeness_q1","Alpha_q0","Alpha_q1","Landscape_Redundancy_q0","Landscape_Redundancy_q1","Landscape_Representativeness_q0","Landscape_Representativeness_q1","Landscape_Alpha_q0","Landscape_Alpha_q1","BCR","HISTO_0","WATER","ICE","URBAN_OPEN","URBAN_LOW","URBAN_MEDIUM","URBAN_HIGH","BARREN","DECIDUOUS_FOREST","EVERGREEN_FOREST","MIXED_FOREST","SHRUBLAND","GRASSLAND","PASTURE","CROPLAND","WOODY_WETLAND","HERB_WETLAND"
1,"02_001",1916.85161964472,1364.78928000179,0.672123867703758,0.478549012388057,77,41.450989620123,3206.16371376859,2634.72929592705,0.996358854018901,0.818777859242336,16,5.71971707857398,"27",0,0.0537859519654815,0,0.0635124546479236,0.0368697444865806,0.0122919338417208,0.00497613251478881,0.00197789841685531,0.30581106775128,0.041035885751037,0.043153096055271,0.0381637481835767,0.0189689929182206,0.225305866682378,0.111845419970276,0.0390811142087663,0.00322069260584262
2,"02_004",2028.66306954436,1303.32331364802,0.619904598213681,0.398260375130189,68,35.8608102795711,3205.55651688245,2355.49364126289,0.996358854018901,0.732140248564385,16,5.0017456445592,"28",0,0.0391997855113347,0,0.0563159369592708,0.0209985284183718,0.00673690399705353,0.00296078039520748,0.0012832984569038,0.355449999532045,0.119490996816253,0.0858323520036468,0.0197867995879792,0.0168915329278088,0.260461690155268,0.00725000316557963,0.00646548995189971,0.000875902121378783
3,"02_007",1573.51978417266,1110.50516136476,0.641100150624758,0.452453813025841,74,41.9849727027319,3205.8742074943,2237.75179075013,0.996358854018901,0.695474515063145,16,4.3240456264431,"24",0,0.00427973723635679,0,0.042072245135949,0.0197386568793762,0.00494540072777006,0.000946464467939961,0.000314937565829935,0.546210205408667,0.0142883649840081,0.0327232243880603,0.0167764818720946,0.0109352709701894,0.175420774757424,0.10194837336399,0.0263005902876999,0.00309927195464459
4,"02_008",2256.88970588235,1687.90978852789,0.674760075755716,0.504647672328593,83,45.6187655950014,3205.54769304202,2844.8152235573,0.996358854018901,0.884234803990458,16,5.92967623918865,"28",0,0.0673132505843919,0,0.0409784531974468,0.0143028752192502,0.00253520940664539,0.000807633485244035,0.00281983552244032,0.225106225549405,0.161986943533922,0.0981255415878944,0.0433622657339885,0.0508825611725935,0.179522004296368,0.0911778015853179,0.0179270410224959,0.00315235810259533
5,"02_010",1994.48623853211,1118.12855201233,0.55757650590866,0.312582859256318,67,44.8529177624109,3205.54592827976,2477.30605812302,0.996358854018901,0.770004823000656,16,4.67845125047264,"29",0,0.0147003527269865,0,0.0403711918890961,0.00330760689026045,0.000906178585447521,0.000270862614848226,0.00133834759491065,0.373146283979632,0.299744717490843,0.0616212448779714,0.0503848506319302,0.0488813429060145,0.0948123753385094,5.56039107716887e-05,0.010174965137449,0.000284075425328627
6,"02_012",2588.99815837937,1302.0597002034,0.515086840980047,0.259047622561853,68,43.3280582405559,3206.14076319241,2444.82711258175,0.996358854018901,0.759768619061129,16,4.86251236630022,"28",0,0.00617097686117697,0,0.072450473051327,0.0222357801024403,0.00902877733494413,0.00367219101340138,0.0017069713812482,0.433020094907609,0.200591713369771,0.0539942579685279,0.0324880704725888,0.03671585313879,0.113127050430542,0.00854531898890028,0.00525031358716181,0.00100215739157153
7,"02_013",1804.02212855638,1169.97706018475,0.627273523347937,0.406810770866558,82,46.6772805436418,3206.13370154277,2650.45186257912,0.996358854018901,0.823671570265725,16,5.50343931678756,"28",0,0.043837131060974,0,0.0669968272427627,0.0149205489167363,0.00665992689773502,0.00266286948966073,0.0037966263712181,0.329871492869831,0.183405962052458,0.0665062117102384,0.0452285849899179,0.04461407664615,0.154326942666812,0.00774412665479498,0.0273676466863353,0.00206102574437554
8,"02_014",2067.92727272727,1272.118469129,0.625083583733406,0.384530143832327,74,40.5550922656557,3205.54769304202,2598.69925206181,0.996358854018901,0.807736230019067,16,5.89424756775422,"28",0,0.0211168354420623,0,0.102247390193226,0.0653456418071171,0.0292531785084711,0.00851180730426587,0.00440702525520007,0.312578932822731,0.165047912980382,0.0675505307698999,0.0429416577021368,0.0387025453392336,0.0979906607399839,0.011352012587411,0.0314365966424028,0.0015172719054755
9,"02_015",1554.81267738884,1037.90261319946,0.602146192117463,0.401957814864485,59,29.9349126233234,3205.84773087156,2513.29659129247,0.996358854018901,0.781117982428002,16,5.17837085432176,"28",0,0.00807213552334263,0,0.0637143165470795,0.0190144737943276,0.0059226493298272,0.000910668587109249,0.00672044786835278,0.3326500566002,0.206384810884857,0.143952808206809,0.0395392038972651,0.0434015619012382,0.118573014257965,0.000841294801150504,0.00980482841550273,0.000497729384973858
10,"02_016",2288.71698113208,1222.38462955179,0.577776930999499,0.308585834590195,69,45.3973302748929,3205.54945780622,2696.43213524413,0.996358854018901,0.838113424102404,16,5.5555917307624,"27",0,0.00342762702617295,0,0.0485059322831707,0.0101358884000755,0.00347497298252549,0.00103170142098428,0.00275597508721841,0.250117676722911,0.201241234804563,0.185184899722916,0.0815401969922105,0.0546911859996906,0.0848879965338356,0.00887406360984289,0.0600506381519222,0.00408001026196077
