"","X","Unique_State_Route_ID","Redundancy_q0","Redundancy_q1","Representativeness_q0","Representativeness_q1","Alpha_q0","Alpha_q1","Landscape_Redundancy_q0","Landscape_Redundancy_q1","Landscape_Representativeness_q0","Landscape_Representativeness_q1","Landscape_Alpha_q0","Landscape_Alpha_q1","BCR"
"1",1,"02_001",1916.85161964472,1364.78928000179,0.672123867703758,0.478549012388057,77,41.450989620123,3206.16371376859,2634.72929592705,0.996358854018901,0.818777859242336,16,5.71971707857398,27
"2",2,"02_004",2028.66306954436,1303.32331364802,0.619904598213681,0.398260375130189,68,35.8608102795711,3205.55651688245,2355.49364126289,0.996358854018901,0.732140248564385,16,5.0017456445592,28
"3",3,"02_007",1573.51978417266,1110.50516136476,0.641100150624758,0.452453813025841,74,41.9849727027319,3205.8742074943,2237.75179075013,0.996358854018901,0.695474515063145,16,4.3240456264431,24
"4",4,"02_008",2256.88970588235,1687.90978852789,0.674760075755716,0.504647672328593,83,45.6187655950014,3205.54769304202,2844.8152235573,0.996358854018901,0.884234803990458,16,5.92967623918865,28
"5",5,"02_010",1994.48623853211,1118.12855201233,0.55757650590866,0.312582859256318,67,44.8529177624109,3205.54592827976,2477.30605812302,0.996358854018901,0.770004823000656,16,4.67845125047264,29
"6",6,"02_012",2588.99815837937,1302.0597002034,0.515086840980047,0.259047622561853,68,43.3280582405559,3206.14076319241,2444.82711258175,0.996358854018901,0.759768619061129,16,4.86251236630022,28
"7",7,"02_013",1804.02212855638,1169.97706018475,0.627273523347937,0.406810770866558,82,46.6772805436418,3206.13370154277,2650.45186257912,0.996358854018901,0.823671570265725,16,5.50343931678756,28
"8",8,"02_014",2067.92727272727,1272.118469129,0.625083583733406,0.384530143832327,74,40.5550922656557,3205.54769304202,2598.69925206181,0.996358854018901,0.807736230019067,16,5.89424756775422,28
"9",9,"02_015",1554.81267738884,1037.90261319946,0.602146192117463,0.401957814864485,59,29.9349126233234,3205.84773087156,2513.29659129247,0.996358854018901,0.781117982428002,16,5.17837085432176,28
"10",10,"02_016",2288.71698113208,1222.38462955179,0.577776930999499,0.308585834590195,69,45.3973302748929,3205.54945780622,2696.43213524413,0.996358854018901,0.838113424102404,16,5.5555917307624,27
"11",11,"02_017",2376.76980568012,1350.44150372138,0.582588789282523,0.331017365993832,66,38.4831016360449,3205.56357598977,2526.26351275634,0.996358854018901,0.785217625185451,16,5.33476091673581,28
"12",12,"02_019",2534.9808,1413.80741054748,0.580501806507825,0.323756990931435,69,41.6172485880257,3205.85302616112,2566.94582083032,0.996358854018901,0.797790533595899,16,5.60594010355553,27
"13",13,"02_020",1732.34395604396,940.771854406794,0.577596298536731,0.313671161536417,74,43.9222704944937,3205.56004643222,2383.8524533194,0.996358854018901,0.740953987489025,16,4.94701101476824,27
"14",14,"02_021",1424.2918395574,935.710596288483,0.377299445755119,0.247872717909094,57,34.7476303698089,3205.8618516826,2413.90755688885,0.996358854018901,0.750225143303354,16,5.1735209539867,27
"15",15,"02_022",3589.30769230769,2250.57028323499,0.47869727721294,0.30015311004677,53,31.354827565548,3205.56004643222,2464.46471917771,0.996358854018901,0.766010059959061,16,5.67318685661932,27
"16",16,"02_023",1914.91310751105,1036.39797455153,0.476395587291829,0.257836984779054,66,39.6088571481272,3205.55651688245,2577.57686982532,0.996358854018901,0.801168696492821,16,5.41963153167723,27
"17",17,"02_024",1853.26726057906,1055.95779678974,0.609766097448466,0.347433572326516,79,44.1365067104764,3205.54416351945,2545.5139178193,0.996358854018901,0.791205861055114,16,5.37370223904227,27
"18",18,"02_025",2302.40694444444,1391.69439717995,0.607384167143285,0.367134552121098,72,43.7189536763173,3205.56357598977,2784.51092627274,0.996358854018901,0.865486536060224,16,5.75586981379164,27
"19",19,"02_026",2335.01756954612,1400.01817573703,0.584332094065179,0.35035091942231,68,40.0696184038332,3205.84420068823,2728.97876401187,0.996358854018901,0.848151682907441,16,6.60510031434946,27
"20",20,"02_027",1290.00568181818,743.017686325036,0.582305932768817,0.335396667625074,78,45.1107662726704,3205.85655636388,2578.38640752282,0.996358854018901,0.801345313194904,16,5.65161561282217,27
"21",21,"02_028",2537.21202531646,1526.15533323435,0.587520092155532,0.353398499249849,70,45.968972148584,3205.55651688245,2616.80899824815,0.996358854018901,0.813362921835667,16,5.36531054418367,29
"22",22,"02_029",1485.87234042553,894.372112923549,0.588513021109083,0.354236107539099,78,49.2839468275877,3205.85832146817,2715.47324803789,0.996358854018901,0.843950525017257,16,5.4568204232697,27
"23",23,"02_030",1842.09961190168,1164.26879528478,0.521724809190932,0.32974759407274,55,26.8652768355779,3205.85126106265,2761.90540256017,0.996358854018901,0.858383211731196,16,5.81290207660735,27
"24",24,"02_031",1689.21008403361,1032.71621430052,0.515558024239924,0.315191778735979,62,33.2060125191643,3205.55122257236,2534.78577622264,0.996358854018901,0.787869566206436,16,5.07380785633988,27
"25",25,"02_032",2101.69100391134,1320.27240496831,0.590626750678471,0.371028947217103,73,41.143855178799,3205.53886925017,2579.60460952856,0.996358854018901,0.801803377655802,16,5.50313297019322,27
"26",26,"02_035",2934.77948717949,1893.35986922871,0.419361894757592,0.270549452075129,59,36.1991648331947,3205.83361018491,2235.52937921358,0.996358854018901,0.694792606616399,16,4.32408417656881,27
"27",27,"02_036",3078.4475308642,2006.52071415384,0.365448050946415,0.23819768789929,47,32.7525920064452,3205.84949596613,2478.10207920171,0.996358854018901,0.770179308442918,16,5.22779610972662,27
"28",28,"02_038",2215.85735963581,1119.56201609557,0.535027492407391,0.270322661096121,68,39.3779549739887,3205.54063400465,2665.44912304854,0.996358854018901,0.828485468414895,16,5.3776031874245,27
"29",29,"02_043",3105.18787878788,1661.53513277746,0.563173181098883,0.301344737503968,57,33.0927291592602,3205.55651688245,2644.14365555145,0.996358854018901,0.821859146339051,16,5.28657187540502,27
"30",30,"02_045",2600.29892141757,1446.71008733902,0.618325071749193,0.344013186786434,71,44.256960984109,3205.55475211048,2567.92791062094,0.996358854018901,0.798170023003013,16,5.138238073235,27
"31",31,"02_046",2322.39152759949,1538.25789351267,0.662859950485454,0.439051528999339,78,36.8668599663619,3205.57416470904,2247.60955359955,0.996358854018901,0.698603608601781,16,5.15983783642246,28
"32",32,"02_047",2793.85444234405,1545.465340507,0.541512307739094,0.299546207699562,70,43.1286208456897,3205.55475211048,2619.17883664535,0.996358854018901,0.814099968946834,16,5.97946673405623,27
"33",33,"02_048",2301.55211267606,1163.19657262945,0.598725899947203,0.302594023801318,73,40.4748216953462,3205.84949596613,2109.48175931067,0.996358854018901,0.655614317180271,16,5.09126673131854,27
"34",34,"02_049",1062.14893617021,562.185479125458,0.548723316866346,0.290434109845384,68,27.5509265548273,3205.56004643222,2348.80963928662,0.996358854018901,0.730061907002135,16,5.49896421585409,27
"35",35,"02_050",1621.90253807107,1024.81969510904,0.585342243557778,0.369855922594924,78,42.856212744229,3205.84773087156,2649.35175233638,0.996358854018901,0.823403136222317,16,5.55300215431,27
"36",36,"02_052",2470.28051001821,1470.56539562579,0.496898287802106,0.295805040854284,63,40.28637840845,3205.85655636388,2272.72276755501,0.996358854018901,0.706347090823097,16,4.85195223406698,27
"37",37,"02_053",2764.60147601476,1517.22531010787,0.549010570113425,0.301299387893545,62,39.9023939682529,3205.86008657441,2266.27838755798,0.996358854018901,0.704343444859399,16,4.58705498348404,27
"38",38,"02_054",1584.55934065934,981.863229068008,0.52832210761811,0.327371804427396,75,40.1672417037717,3206.13017072961,2604.29098091295,0.996358854018901,0.809327207286688,16,5.18574390092844,27
"39",39,"02_055",1162.5984375,694.892875608119,0.545241104034406,0.325894261045929,79,45.9157188129867,3205.54769304202,2642.81452884792,0.996358854018901,0.821448285128635,16,5.52554599707462,27
"40",40,"02_057",2944.77037037037,1546.28367973315,0.582631657432916,0.305936867692363,69,44.7351243364621,3205.55475211048,2377.96089249691,0.996358854018901,0.739123981017665,16,4.63105371248453,28
"41",41,"02_058",2242.5355704698,1572.30525205904,0.612131173609048,0.42918251638387,69,43.1687419265457,3205.55828165636,2464.49455259627,0.996358854018901,0.766019754565758,16,5.13648557598013,28
"42",42,"02_059",2406.67107750473,1219.40978722486,0.466467396939654,0.236349252112704,64,40.4511236252296,3205.55298734045,2519.103541037,0.996358854018901,0.78299473670064,16,5.59688806026407,27
"43",43,"02_060",2257.68596491228,1249.52827797883,0.47150605338587,0.260957527353337,64,37.1257234893178,3205.55828165636,2623.75399495346,0.996358854018901,0.81552113358817,16,5.54917933634341,27
"44",44,"02_061",2907.40485074627,1749.43015976815,0.570977749231579,0.343566082585941,65,35.0604174707932,3205.55298734045,2456.97352084716,0.996358854018901,0.763683311819815,16,4.91912951775712,28
"45",45,"02_063",1652.01941747573,981.551214980802,0.561104518046575,0.333381566580724,72,35.563565567732,3205.85832146817,2290.82661382561,0.996358854018901,0.711973253597178,16,5.35235640620301,27
"46",46,"02_065",2391.56830601093,1510.12012280126,0.481065284529104,0.303761496053709,61,30.6656813604188,3205.55475211048,2539.54110975333,0.996358854018901,0.789346763826704,16,5.70949947000336,27
"47",47,"02_066",2066.63254113346,1383.44018903485,0.414189870732375,0.277265987860643,58,34.8463193378525,3205.83184510782,2552.04481373993,0.996358854018901,0.79316463522661,16,5.35876765464694,27
"48",48,"02_068",1832.29707112971,981.826517432691,0.481353270565079,0.257930557626423,61,34.9247353800342,3205.83714034491,2482.56716920049,0.996358854018901,0.771570005413136,16,4.98819588564419,27
"49",49,"02_069",2095.5275974026,1136.06529945227,0.472958440976969,0.256408779127022,51,22.467226708873,3206.14076319241,2467.84074925074,0.996358854018901,0.766920469947267,16,5.27502497745609,27
"50",50,"02_070",1313.36523652365,226.026709991649,0.437419645117666,0.0752787728213027,48,12.0797719979044,3205.55298734045,2097.1768475653,0.996358854018901,0.651850313742205,16,5.43845449067886,27
"51",51,"02_071",1790.61283185841,643.681987948496,0.593087822184378,0.213200721908974,62,32.3260802954871,3205.56181121002,2585.87746721763,0.996358854018901,0.803747380836714,16,5.80172798216126,24
"52",52,"02_072",1337.24182509506,983.985369588261,0.64429474381517,0.474092710622239,76,33.5927427917105,3205.54592827976,2273.29896670532,0.996358854018901,0.706594634419846,16,4.72388214442471,24
"53",53,"02_073",1712.44560669456,1243.14732789601,0.599823617712827,0.435441058480068,69,47.1887369595165,3205.55828165636,2060.8180780783,0.996358854018901,0.640548122417711,16,3.81547760936212,28
"54",54,"02_102",1622.49536178108,977.101818140904,0.640842208933503,0.385929046233444,75,41.6497153946668,3205.55122257236,2532.69829074363,0.996358854018901,0.787220727833491,16,5.50638325238084,24
"55",55,"02_105",1530.57833655706,1076.16692529756,0.579862448196405,0.407707840276084,70,35.6470337408204,3205.55828165636,2188.66070606658,0.996358854018901,0.680284456349332,16,4.71418130795685,28
"56",56,"02_111",1741.2834799609,1160.2059866001,0.652670520891995,0.434870171531921,82,43.2895947088674,3205.56357598977,2437.85556897287,0.996358854018901,0.757738514113051,16,4.94284081775271,28
"57",57,"02_140",1608.34197530864,221.057668040066,0.477322931639223,0.0656053847938439,59,25.3501299927529,3226.82397364944,1358.3103809248,0.999962413326166,0.420927617263048,17,4.23035466143867,27
"58",58,"02_142",2173.05296950241,1218.9916442838,0.496029200171912,0.278251592950721,59,30.0830942841168,3205.54592827976,2612.15945853443,0.996358854018901,0.81192042255863,16,5.60466518158417,27
"59",59,"02_201",2046.12813738441,1121.24939872585,0.567515321699821,0.31099040260355,72,47.0574792625767,3205.85479126153,2684.63109398224,0.996358854018901,0.83436591312705,16,5.24153684691132,27
"60",60,"02_204",3174.37191650854,2096.24812526711,0.612939073366458,0.404764286366487,65,36.7312891257756,3205.55122257236,2436.39051965333,0.996358854018901,0.757286063317465,16,4.87470013302611,28
"61",61,"02_205",2656.53577661431,1384.94839744469,0.557723796476678,0.290761632102531,67,41.2058958108974,3205.85302616112,2622.28054127146,0.996358854018901,0.814988214898279,16,5.59920102940221,27
"62",62,"02_207",3480.09808102345,2220.67751344473,0.598016560296252,0.381598994395843,62,36.3509289970406,3205.8618516826,2357.22445598613,0.996358854018901,0.732608442375325,16,4.79673600170839,28
"63",63,"02_208",1740.50965250965,1080.3646615803,0.660670743659819,0.410089839697737,79,41.1550283339787,3205.54592827976,2667.2721277942,0.996358854018901,0.829050732719263,16,5.44905229653146,28
"64",64,"02_209",2152.690747782,1243.79377347589,0.622311076946865,0.359562395791916,73,43.126971522449,3205.55122257236,2489.30491904703,0.996358854018901,0.773733072483862,16,4.8585057639245,29
"65",65,"02_210",1475.51764705882,877.312925087399,0.459528252492673,0.27322619702872,66,35.3568004347305,3205.8618516826,2351.61543319469,0.996358854018901,0.730865198349476,16,5.34130591994739,27
"66",66,"02_211",3874.70200573066,2365.00147786559,0.495464586327845,0.302416670278738,62,36.8108035013559,3205.56004643222,2825.41168348547,0.996358854018901,0.87820034761864,16,6.15205492847992,27
"67",67,"02_212",2339.73913043478,1369.97354774544,0.591514524425503,0.346345984058307,71,36.8005767391002,3205.55475211048,2754.13790119814,0.996358854018901,0.856048295927913,16,5.91220330703604,27
"68",68,"02_213",2785.20641282565,1521.52406091848,0.509221598659583,0.278181506093074,61,40.71448052694,3205.85126106265,2118.66182344098,0.996358854018901,0.658467063677036,16,4.66341167615666,27
"69",69,"02_214",1958.76311030741,1345.84082157229,0.396877000284689,0.272689058373406,66,37.6570947540377,3205.54945780622,2501.54880995188,0.996358854018901,0.777539182709022,16,5.24717489039338,27
"70",70,"02_215",2003.65884476534,1389.84143280796,0.406707729713747,0.282113522107915,67,38.7612375100269,3205.56181121002,2678.23056806634,0.996358854018901,0.832452748303011,16,5.51874006953686,27
"71",71,"02_216",1510.58158614403,814.698333135066,0.607155170613407,0.327455537648739,78,43.9114931780822,3205.85655636388,2763.99919597472,0.996358854018901,0.859032530929607,16,5.66500589307559,27
